id,name,default_code,categ_id:id,description,type,lst_price,cost_method,valuation,taxes_id:id,supplier_taxes_id:id,uom_id,uom_po_id,sale_ok,purchase_ok,active
sparepart_077160020100,077160020100,LOCKNUT WRCH 20X24,wtc_product.categ_sparepart_tl,07716-0020100,product,265000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077240010200,077240010200,GEAR HOLDER,wtc_product.categ_sparepart_tl,07724-0010200,product,269000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077490010000,077490010000,DRIVER HANDLE,wtc_product.categ_sparepart_tl,07749-0010000,product,145000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_AHMM0002000,AHMM0002000,HONDA GOLDWING,wtc_product.categ_sparepart_accec,HONDA GOLDWING,product,37500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_077330020001,077330020001,FLYWHEEL PULLER,wtc_product.categ_sparepart_tl,07733-0020001,product,306000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061A1439000,061A1439000,GASKET KIT A,wtc_product.categ_sparepart_gst,HGP,product,35000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KB9000,061B1KB9000,GASKET KIT B,wtc_product.categ_sparepart_gst,GASKET KIT B,product,38000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_24701KRSA00,24701KRSA00,"PEDAL, GEAR",wtc_product.categ_sparepart_ahm,"PEDAL, GEAR",product,29000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_34901KPW901,34901KPW901,BULB,wtc_product.categ_sparepart_elect,HGP,product,12700,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_88120GN5830,88120GN5830,MIRROR BLACK,wtc_product.categ_sparepart_ahm,HGP,product,19500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_GRAND-ULB-100KLG,GRAND-ULB-100KLG,GRAND-ULB-100KLG,wtc_product.categ_sparepart_oil,GRAND-ULB-100KLG,product,27500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_FA30020W50SFCC,FA30020W50SFCC,SUPREME UTEC NEW 0.8L,wtc_product.categ_sparepart_oil,NO ,product,30000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061A1KEG000,061A1KEG000,GASKET KIT A,wtc_product.categ_sparepart_ahm,GASKET KIT A,product,50200,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061A1KG2000,061A1KG2000,GASKET KIT A,wtc_product.categ_sparepart_gst,GASKET KIT A,product,38200,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061A1KG2001,061A1KG2001,GASKET KIT A,wtc_product.categ_sparepart_gst,GASKET KIT A,product,38200,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1GN8000,061B1GN8000,GASKET KIT B,wtc_product.categ_sparepart_gst,GASKET KIT B,product,27800,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
